ix1,iy1,iz1,E111,E112,E113,E121,E122,E123,E131,E132,E133,E211,E212,E213,E221,E222,E223,E231,E232,E233,E311,E312,E313,E321,E322,E323,E331,E332,E333,trueE
3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707981,0,0,0.160388,0,0,0,0,0,0,0,0,0,0,0.647171
4,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35127,0,0,0,0,0,0,0,0.257694,0.107293,0,0,0,0,1.48824
7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39053,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28881
8,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16952,0,0,0,0,0,0,0,0.317845,0,0,0,0,0,3.56531
16,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48066,0.154298,0,0,0,0,0,0,0,0,0,0,0,0,3.22016
6,13,2,0,0,0,0,0,0.271808,0,0,0,0,0,0,0,4.6235,0,0,0,0,0,0,0,0,0,0,0.329317,0,0,4.65657
9,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2356,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99253
13,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46369,0,0,0,0,0,0,0,0,0,0,0,0,0,4.75903
11,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4714,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57635
2,16,4,0,0,0,0,0.309939,0,0,0,0,0,0.253828,0,0,2.43755,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19077
5,6,9,0,0,0,0,0,0,0,0,0,0,0.272137,0,0.215908,3.68283,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92281
14,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.504791,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54405
4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98459,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04665
16,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336366,0.312065,0,0,0,0,0,0,0,0,0,0,0,0,1.86552
14,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.909431,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11979
9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444188,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298128
11,3,8,0,0,0,0,0,0,0,0,0,0.389055,0,0,0,0.519284,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52473
